,Nombre,Título,Fecha,Rating,Reviews,Tipo
0,El Khalifa Shawarma,Terrible la comida,16 de diciembre de 2020,10,"La por comida Árabe que he probado. Fatal el sabor, no lo recomiendo en absoluto, de arabe solo el nombre.",Del Medio Oriente
1,El Khalifa Shawarma,Comida variada,2 de febrero de 2020,40,"Una opción práctica de comida par quienes comen carne y para los que no. Menú variado, rico y no es tan costoso. El servicio se demoró un poco pero los platos estaban bien",Del Medio Oriente
2,El Khalifa Shawarma,Es una opción,26 de enero de 2020,40,"Para el turista que le faltó planear a qué restaurante ir, esta es una opción que combina la comida nacional con la comida que representa, de una forma interesante.",Del Medio Oriente
3,El Khalifa Shawarma,Tiene más potencial,20 de enero de 2020,30,Me gusto estuvo rico pero le falta una salsa o hummus a los platos. El pan arabe debe ser calentado lo cual queda más rico,Del Medio Oriente
4,El Khalifa Shawarma,Almuerzo de domingo,11 de agosto de 2019,50,Nos fue muy bien. La atención fue muy buena y la comida buenísima como siempre. Además venden cerámica y productos de Turquía muy bonitos. El precio es justo.,Del Medio Oriente
5,El Khalifa Shawarma,Bastante malo!,18 de junio de 2019,10,Completamente lejos de la cocina tradicional arabe y distante de una comida arabe medianamente buena. Los kibbes son una verdadera lástima. Los postres son horribles. De verdad no es un sitio para visitar.,Del Medio Oriente
6,El Khalifa Shawarma,Mal servicio,26 de abril de 2019,20,"Las porciones son muy pequeñas comparados con closet precios, utilizan los ingredientes más baratos.",Del Medio Oriente
7,El Khalifa Shawarma,Malísimo,15 de junio de 2018,20,El ambiente es agradable perolas chuletas de cordero durísimas. Al hacer reclamo decidieron cambiarlas pero dió lo mismo... No volveré,Del Medio Oriente
8,El Khalifa Shawarma,Árabe,4 de septiembre de 2017,50,"El sitio es muy agradable. La comida es deliciosa, la atención es muy buena. Hay platos típicos exquisitos y buenas opciones para todos los gustos.",Del Medio Oriente
9,El Khalifa Shawarma,Conociendo otro tipo de cultura,13 de agosto de 2017,40,Fui e este restaurante por la noche tenían platos de la cultura arabe este restaurante está ubicado en el sector de la Candelaria los precios son cómodos ofrecen todo tipo de plato arabe.,Del Medio Oriente
10,El Khalifa Shawarma,Comida Arabe,11 de julio de 2017,40,"la combinación de cada plato con sabores propios del oriente le dan toque especial con respecto a otros restaurantes del mismo tipo. Es agradable, rica, suficiente, delicada",Del Medio Oriente
11,El Khalifa Shawarma,Sabores y platos tipicos,2 de julio de 2017,40,"Auténticos platos árabes y exquisita comida, el servicio es muy estandarizado. La decoración podría ser más típica pero aún así es genial la ambientación.",Del Medio Oriente
12,El Khalifa Shawarma,Eu amei,24 de mayo de 2017,50,"El sitio es sencillamente ideal, me fascinó la comida, es la mejor que he probado de su tipo en Bogotá, el ambiente y la atención hacen la experiencia más agradable, se da para cualquier ocasión y todo lo ofrecido es delicioso. De mis favoritos",Del Medio Oriente
13,El Khalifa Shawarma,Deliciosa comida con un sabor típico!,23 de enero de 2017,50,"Buena atención, deliciosos platos y un ambiente muy agradable. Recomendadisimo para todos los amantes de la comida Arabe que buscan una EXCELENTE calidad a un muy buen precio.",Del Medio Oriente
14,El Khalifa Shawarma,Carne dura,9 de noviembre de 2016,30,"El sitio es muy lindo .los precios cerca de 25 para los platos fuertes con opciones a 16 muy buenas. Pedi una brocheta. La carne un poco dura para mi gusto . Muy seca. A pesar de eso, lo recomiendo",Del Medio Oriente
15,El Khalifa Shawarma,MUY BUEN PLATO VEGETARIANO,1 de noviembre de 2016,40,"Muy buen servicio, buena relacion calidad precio, los que esten en el centro tienen una excelente opcion, buena variedad de platos y precios.",Del Medio Oriente
16,El Khalifa Shawarma,Solo falta un poquitico mas de Servicio,25 de octubre de 2016,40,"La ambientación espectacular, es un lugar hermoso, sólo le faltó un poquitico de servicio por parte de sus colaboradores, aunque no fue malo. Nos encantó desde el lugar hasta la comida, muy buen sazón ... Felicitaciones.",Del Medio Oriente
17,El Khalifa Shawarma,Excelente opción de comida árabe,13 de septiembre de 2016,40,"El ambiente es a tono con la comida, mucha variedad a buen precio, el servicio es excelente, recomendados los Sandwiches.",Del Medio Oriente
18,El Khalifa Shawarma,Excelente,13 de agosto de 2016,50,"Me encanto ...... Delicioso todo el menú , la atención quieres algo diferente te lo recomiendo para un rato lleno de sabores deliciosos u agradables",Del Medio Oriente
19,El Khalifa Shawarma,Rico aunque no maravilloso,10 de agosto de 2016,40,"Si quieres comida arabe, entra al lugar. Me atendieron bien y la comida es rica. Lo malo? La comida estaba fria, y para mi gusto muy salada y las bebidas muy dulce.",Del Medio Oriente
20,El Khalifa Shawarma,AMAMOS ESTE RESTAURANTE,21 de julio de 2016,50,"Es uno de los lugares predilectos con mi esposa para compartir. Todo en su carta es delicioso, sus bebidas y postres son a cualquier hora una excelente opción.",Del Medio Oriente
21,El Khalifa Shawarma,Menú árabe tipo comida rápida,30 de abril de 2016,30,Se me pasó la hora de almuerzo así que decidí probar una opción. La atención fue amable y me trajeron la comida rápidamente. La sazón era regular y el personal de cocina parecía distraído. Me pareció un poco caro para la calidad y sazón.,Del Medio Oriente
22,El Khalifa Shawarma,Bueno,9 de abril de 2016,40,"La comida es agradable y el servicio es bueno, nos sirvieron rápido y la comida fresca, los jugos mezclados son mis favoritos, les recomiendo la mangolada de cereza, jugo de mango y cerezas, delicioso y refrescante.",Del Medio Oriente
23,El Khalifa Shawarma,EXCELENTE COMIDA ARABE,22 de marzo de 2016,40,La típica comida turca la encontrás en Bogota. Muy rica y abundante. Tan típica que no venden nada de alcohol.... Vale la pena ir,Del Medio Oriente
24,El Khalifa Shawarma,buena opcion de arabe,16 de marzo de 2016,40,"buenos platos originales arabes, me gustan las espezias que usan, me gusto mucho el shawarma el kibuz bueno, la ensalada bien condimentada",Del Medio Oriente
25,El Khalifa Shawarma,Puede ser mejor!,8 de marzo de 2016,20,"Pedimos dos platos y se demoraron una eternidad, 40 minutos para ser exactos, cuando llegaron los platos las papas estaban frías y estuvo muy regular el servicio al cliente... Cabe aclarar que estuvimos en el punto de Titan plaza.",Del Medio Oriente
26,El Khalifa Shawarma,Una comida no para todos los gustos,30 de octubre de 2015,30,En mi opinión la comida la preparan muy condimentada y cae pesada. El lugar lo ampliaron y sirven rápido.,Del Medio Oriente
27,El Khalifa Shawarma,Mas o menos,26 de octubre de 2015,30,"Antes de que lo ampliaran era muy bueno, despues cambio la calidad de la comida, son buenos los shawarmas, antes los postres eran buenos su baklava era uno de los mejores pero tambien cambio la calidad lo mismo que la de los kibbeh,",Del Medio Oriente
28,El Khalifa Shawarma,Desde siempre mi restaurante favorito en el centro!!,26 de octubre de 2015,50,Plato arabe delicioso!! Perfecto para compartir y cualquier shawarma es exquisito !! Sobre todo el oriental y el hindú!! Excelente para ir con amigos o tomar un almuerzo rápido!,Del Medio Oriente
29,El Khalifa Shawarma,Excelente!!,15 de octubre de 2015,50,"Ubicado en el centro de Bogotá, cercano a la plaza de Bolívar, la comida es espectacular y el precio vale más que la pena!! Excelente sabor, calidad y a un precio que da gusto!! Altamente recomendable!!",Del Medio Oriente
30,El Khalifa Shawarma,Simplemente lo máximo,9 de agosto de 2015,50,"Si estás en el centro y te gusta el árabe, esto es perfecto. Tienen mucha variedad y es rápido y sabroso. Ojo: es informal y pagas primero y luego te llevan la comida a la mesa.",Del Medio Oriente
31,El Khalifa Shawarma,El mejor retorno por tu $$,14 de julio de 2015,50,"El sitio ampliado de la Av. Jiménez está muy bien ambientado, la comida es deliciosa para el precio, sobre todo el Bosra, sin escatimar en camarones, la salsa pesto, la ensalada... REcomendado !!!",Del Medio Oriente
32,El Khalifa Shawarma,DELICIOSO,23 de mayo de 2015,40,"Comida árabe variada y deliciosa, sin necesidad de demasiada formalidad, cómodamente puedes disfrutar de tu plato preferido.",Del Medio Oriente
33,El Khalifa Shawarma,Almuerzo arabe,24 de julio de 2014,50,"Muy buena atención, comida sana, muy buenas porciones, excelente relación precio/calidad. Nada negativo para comentar",Del Medio Oriente
