,Nombre,Título,Fecha,Rating,Reviews,Tipo
0,Restaurante Peruano - Indio De Machu Picchu,El mejor servicio de Bogotá,14 de abril de 2021,50,"Es el mejor servicio que hemos tenido en años y atendido por el propio dueño. La comida sin lugar a dudas sobrepasó nuestras expectativas, todos los platos son espectaculares. Volveremos muy pronto para probar el resto de delicias peruanas que brinda este acogedor restaurante!!","Peruana, Mariscos, Sudamericana, Latina"
1,Restaurante Peruano - Indio De Machu Picchu,Comida exquisita con un sabor impresionante!,9 de abril de 2021,50,Es un sitio muy bonito con una diversidad de platos muy interesante y un sazón exquisito que invita a volver!,"Peruana, Mariscos, Sudamericana, Latina"
2,Restaurante Peruano - Indio De Machu Picchu,Delicioso,5 de abril de 2021,50,"Excelente opción para celebrar, fuimos para el cumpleaños de mi mamá la sugerencia fue varios platos para compartir y todos exquisitos con una divertida presentación por parte del mesero. Super recomendado.","Peruana, Mariscos, Sudamericana, Latina"
3,Restaurante Peruano - Indio De Machu Picchu,Excelente restaurante,3 de abril de 2021,50,La comida es fiel peruana y el servicio es único me encantó muy recomendado para regresar y probar más platos,"Peruana, Mariscos, Sudamericana, Latina"
4,Restaurante Peruano - Indio De Machu Picchu,Excelente restaurante,2 de abril de 2021,50,"La comida es deliciosa y lo mejor es la atención, son super amables, se preocupan por hacerte sentir bien y que conozcas de la comida Peruana. Es perfecto para ir una fecha especial con familia o amigos.","Peruana, Mariscos, Sudamericana, Latina"
5,Restaurante Peruano - Indio De Machu Picchu,Gracias 🙏,2 de abril de 2021,50,"Gracias 🙏 la comida excelente , con todos los protocolos de vio seguridad apoyo total a este sitio 👌","Peruana, Mariscos, Sudamericana, Latina"
6,Restaurante Peruano - Indio De Machu Picchu,No tiene pierde cuando lo recomiendo.,2 de abril de 2021,50,"Es un restaurante delicioso, espectacular la atención y la comida sin igual. Lo he recomendado muchas veces y todos salen felices.","Peruana, Mariscos, Sudamericana, Latina"
7,Restaurante Peruano - Indio De Machu Picchu,El mejor restaurante peruano del mundo,2 de abril de 2021,50,"La atención al cliente es la mejor que he visto, son personas muy muy amigables y cariñosas, la comida es increíblemente deliciosa, lo recomiendo.","Peruana, Mariscos, Sudamericana, Latina"
8,Restaurante Peruano - Indio De Machu Picchu,Espectacular,31 de marzo de 2021,50,"La comida es deliciosa, los meseros son muy atentos es de los mejores servicios El lugar es bastante agradable Realmente una experiencia unica","Peruana, Mariscos, Sudamericana, Latina"
9,Restaurante Peruano - Indio De Machu Picchu,Buena relación entre precio y calidad,25 de marzo de 2021,50,"Muy rica la comida y buenos precios, la atención es de lo mejor, se nota que aman lo que hacen, he ido un par de veces y seguiría yendo.","Peruana, Mariscos, Sudamericana, Latina"
10,Restaurante Peruano - Indio De Machu Picchu,Excelente comida y servicio,22 de marzo de 2021,50,"Nos encantó la atención, y el sabor es lo mejor. Pta: pedir que lo atienda el indio, es el dueño y es muy carismático.","Peruana, Mariscos, Sudamericana, Latina"
11,Restaurante Peruano - Indio De Machu Picchu,Un cumpleaños maravilloso 🎈,22 de marzo de 2021,50,"Maravillosa atención de inicio a fin, los platos son deliciosos, es una mezcla de sabores incomparable, me enamore de la gastronomía Peruana en este lindo lugar, no duden en visitarlos, Don César y todo su equipo los atenderán de la mejor manera!","Peruana, Mariscos, Sudamericana, Latina"
12,Restaurante Peruano - Indio De Machu Picchu,"Muy familiar, lo recomiendo, todo muy delucioso",22 de marzo de 2021,50,"Que delicia de platos típicos peruanos, la chicha morada, la atención de las personas, el dueño son una bendición, lo recomiendo","Peruana, Mariscos, Sudamericana, Latina"
13,Restaurante Peruano - Indio De Machu Picchu,Exquisito,22 de marzo de 2021,50,"Desde la atención de sus meseros, la presentación de sus comidas y el sabor. Imposible perderse este lugar. Recuerden traer efectivo para poder disfrutarlo","Peruana, Mariscos, Sudamericana, Latina"
14,Restaurante Peruano - Indio De Machu Picchu,Excelente en todo,22 de marzo de 2021,50,"Un excelente restaurante, desde su atención a su comida. Es atendido por su propietario, lo que le da un plus. Súper recomendado. En una palabra: EXCELENTE!","Peruana, Mariscos, Sudamericana, Latina"
15,Restaurante Peruano - Indio De Machu Picchu,Divino,21 de marzo de 2021,50,"Un excelente servicio acompañado de una buena comida, los que nos atendieron son súper serviciales, aceptamos su recomendación de platos y nos fue espectacular!","Peruana, Mariscos, Sudamericana, Latina"
16,Restaurante Peruano - Indio De Machu Picchu,Aniversario 7 años,21 de marzo de 2021,50,"Excelente servicio, comida inigualable muy rica, decoración sin costo, muy recomendado, precios justos, buen lugar bonito y tranquilo.","Peruana, Mariscos, Sudamericana, Latina"
17,Restaurante Peruano - Indio De Machu Picchu,La mejor comida peruana en Bogota,21 de marzo de 2021,50,"La mejor comida que he probado , recomiendo el plato jalea, para acompañar la chicha morada. Completamente recomendado.","Peruana, Mariscos, Sudamericana, Latina"
18,Restaurante Peruano - Indio De Machu Picchu,Excelente comida peruana,20 de marzo de 2021,50,"Almorzamos delicioso, los sabores del Perú clásicos en Bogotá, incluso las bebidas tradicionales del Perú","Peruana, Mariscos, Sudamericana, Latina"
19,Restaurante Peruano - Indio De Machu Picchu,Sensacional,20 de marzo de 2021,50,Una experiencia completa de sabores y maravillosa atención. Se esmeran en brindar un momento inolvidable.,"Peruana, Mariscos, Sudamericana, Latina"
20,Restaurante Peruano - Indio De Machu Picchu,Unico,20 de marzo de 2021,50,Único restaurante en el mundo en donde te explican los platos hasta bailando....sumado con una excelente comida ...y el mejor servicio,"Peruana, Mariscos, Sudamericana, Latina"
21,Restaurante Peruano - Indio De Machu Picchu,¡ESPECTACULAR!,20 de marzo de 2021,50,"La atención inmejorable, los mejores insumos, los sabores, lo genuino del lugar, la magia en sí, hacen de este lugar único. Recomendado 100%","Peruana, Mariscos, Sudamericana, Latina"
22,Restaurante Peruano - Indio De Machu Picchu,Deliciosa comida peruana,19 de marzo de 2021,50,"Un lugar bastante agradable, atención acogedora. El menú, bebidas y postres muy ricos. Un lugar para visitar y volver.","Peruana, Mariscos, Sudamericana, Latina"
23,Restaurante Peruano - Indio De Machu Picchu,Muy rico,19 de marzo de 2021,50,"Excelente la comida y la atención del Indio, todo un Señor personaje que atiende con carisma, sencillez y alegría.","Peruana, Mariscos, Sudamericana, Latina"
