,Nombre,Título,Fecha,Rating,Reviews,Tipo
0,Antolina Pizzeria,Me gusto mucho,24 de junio de 2013,50,Me gusto mucho porque la pizza es delgada y sus productos de buena calidad y frescos Le sugiero que tengan lasagna pues es un plato que gusta mucho,"TIPOS DE COMIDA
Italiana, Pizzería"
1,Poké Bowls,Ideal para recargar energía de manera saludable!!,26 de septiembre de 2018,50,"Una mezcla de sabores y colores. Deliciosa opción saludable, mezcla de proteína (animal o vegetal) con muchos sabores e ingredientes. Ofrece una mezcla de sabores orientales y hawaianos. Delicioso!!","TIPOS DE COMIDA
De Asia central"
2,Maxidonas,Super donas,8 de septiembre de 2018,50,Las mejores donas de Bogotá! Las consigues de diferentes rellenos o tradicionales! Mi favorita es la rellena de Nutella o chocolate! Y excelente atención.,"TIPOS DE COMIDA
Café, Delicatessen"
4,Matrona Cocina del Caribe,Super deli,6 de septiembre de 2018,50,Todo es delicioso y sus dueñas son super queridas. Super recomendado las arepas de huevo y el queso frito.,"RANGO DE PRECIOS
$ 15 - $ 35
TIPOS DE COMIDA
Caribeña"
5,Cincorazones,Cena de cumpleaños,1 de septiembre de 2018,50,"Es un restaurante con un comida fabulosa y con excelentes precios, además ofrecen unos cócteles exquisitos. Lo recomiendo","RANGO DE PRECIOS
$ 54.348 - $ 126.812
TIPOS DE COMIDA
Internacional, Europea, De Europa Central, Sudamericana, Colombiana"
7,Tatami Sushi & Wok,Bueno sin pretensiones,1 de diciembre de 2018,30,"Platos a 25 a 30 mil. Buenas porciones. Amables , buen sitio .recomendado . Parqueo para 2 o 3 carros. Vale la pena","TIPOS DE COMIDA
Japonesa"
8,Tatami Sushi & Wok,Excelente platos,29 de septiembre de 2018,50,"Es un restaurante asiatico con muy buena atención y un ambiente muy cómodo la comida es excelente , los precios oscilan entre los 18.000 a 72.000 pesos dependiendo la cantidad","TIPOS DE COMIDA
Japonesa"
9,Olé gourmet,Lo mejor!!!,11 de agosto de 2018,50,"Una de las mejores hamburguesas que me he comido, y unas tortillas españolas que te dejan sin palabras, las paellas con un sabor 100% español. Sin hablar de las paellas... Madre mía el festín que nos dimos. Os lo recomiendo 100%","RANGO DE PRECIOS
$ 8 - $ 21
TIPOS DE COMIDA
Española"
10,Caprizza,"Una delicia, la super recomiendo",11 de agosto de 2018,50,"Nos encantó, estuvimos celebran el cumpleaños de una compañera de trabajo. Sus pizzas de sal son inmejorables y las de dulce ni se dija. Repetimos y algunas pidieron para llevar.","RANGO DE PRECIOS
$ 12.000 - $ 29.000
TIPOS DE COMIDA
Italiana, Bar, Pizzería, Comida rápida, Pub, Comida de calle"
11,Crepes & Waffles,Almuerzo,11 de abril de 2019,40,"Un lugar típico de Bogotá, comí un rico crepé con carne y otros ingredientes, el panqueque crujiente y delgado. De postre profiteroles con crema, helado de vainilla y almendras, lo recomiendo","TIPOS DE COMIDA
Sudamericana, Colombiana"
