Nombre,Título,Fecha,Rating,Reviews,Tipo
Casa Vieja Restaurante,Comida Tiquita en un ambiente muy colombiano,15 de octubre de 2019,50,Tuve la experiencia de ir almozar a este típico restaurante colombiano en el centro de bogota. Sus platos están deliciosos y además la mezcla de sabores de esta cultura no se puede dejar de probar.,$ 36.364 - $ 72.727
Casa Vieja Restaurante,Me gustó!!,22 de octubre de 2018,40,"El restaurante es agradable, antiguo y familiar. En lo personal me agradó bastante, el servicio es bueno y su comida típica colombiana está muy bien lograda. Es un clásico del tour gastronómico de Bogotá, recomendado.",$ 36.364 - $ 72.727
Casa Vieja Restaurante,Restaurante tradicional frente al Hotel Tequendama.,18 de septiembre de 2018,40,"Llegamos tarde como a las 17 horas, ya no había público pero nos atendieron bien y comimos deliciosos platos típicos de Bogotá con una música de fondo que me encantó, tal parece que ayuda con la tradición del lugar. Más de 50 años de prestigio.",$ 36.364 - $ 72.727
Casa Vieja Restaurante,QUE GRATO VOLVER,4 de agosto de 2016,50,Hace años no disfrutaba de un almuerzo en este agradable restaurante. El ambiente de todo mi gusto. Atención y recetas excelentes.,$ 36.364 - $ 72.727
Casa Vieja Restaurante,Un clásico que no defrauda,1 de agosto de 2016,40,"Lugar típico de cocina colombiana que uno no puede dejar de visitar si se encuentra en Bogotá (ciudad que, por cierto, vive en estos tiempos una suerte de inflación culinaria, con apertura de decenas de nuevos locales, muchas veces excesivamente pretenciosos, excesivamente costosos y gastronómicamente...Más",$ 36.364 - $ 72.727
Casa Vieja Restaurante,Luego de 40 años mejor aún!,12 de marzo de 2016,50,"Luego de visitarlo hace 40 años, me consigo un Restaurante más fortalecido, al punto de tener sucursales. Cuando desee comer gastronomía Colombiana, este es el aeropuerto culinario donde lo encontrará. Ambiente cosmopolita y a la vez es una casona con patio central, con música de...Más",$ 36.364 - $ 72.727
Casa Vieja Restaurante,Comida típica Colombiana,25 de febrero de 2016,40,"El entorno es muy agradable, desde la decoración, la música, y el servicio. Los platos son típicos Colombianos y tienen una variedad considerable. El precio es medianamente elevado, pero es bueno si se quiere disfrutar de un plato muy completo y típico Colombiano.",$ 36.364 - $ 72.727
Casa Vieja Restaurante,Recomendable 100% en Bogotá.,16 de septiembre de 2015,50,"Exquisita calidad en los platos típicos colombianos y zumos de frutas,vinos. Excelente atención del personal.",$ 36.364 - $ 72.727
Casa Vieja Restaurante,Muy buen Puchero y platos tipicos!!!,11 de septiembre de 2015,40,"Regrese después de muchos años y de malas experiencias. Ahora debo decir que me gusto y tiene platos típicos bastante buenos, con una atención aceptable y una música de piano que quizás deberían adecuar al tamaño del restaurante. Los platos muy bien servidos, con gusto...Más",$ 36.364 - $ 72.727
Casa Vieja Restaurante,Critica de un mexicano,19 de agosto de 2015,40,"Estuve con unos amigos y esposa disfrutando este lugar, coincido con la denominación de ""típico"" el servicio es muy bueno, el menú es bastante variado y estando con diferentes amigos originarios de varias partes de Colombia lo califican de muy bueno. Mi esposa y yo...Más",$ 36.364 - $ 72.727
Casa Vieja Restaurante,comida típica,17 de marzo de 2015,30,Creo que ya pasó de moda. No lo han actualizado. deben mejorar la presentacion de los platos típicos.,$ 36.364 - $ 72.727
Casa Vieja Restaurante,Muy tipico.,15 de marzo de 2014,50,"Es comida tipica, el lugar es pequeño (a menos a si se me hizo), pero la comida es muy rica y muy vasta.",$ 36.364 - $ 72.727
Casa Vieja Restaurante,Bueno comida típica,12 de junio de 2013,40,Bonito restaurante para un almuerzo de negocios. Les recomiendo las entradas y una buena cerveza. Precios acordes.,$ 36.364 - $ 72.727
Casa Vieja Restaurante,Un buen típico,24 de mayo de 2012,40,Es un restaurante en una vieja pero magnífica casona que perteneció a la iglesia. Su decoración es muy bonita y de noche es realmente acogedor. Su oferta gastronómica es típica muy agradable sin ser nada especial. Puede visitarse.,$ 36.364 - $ 72.727
Casa Vieja Restaurante,comida tipica Colombiana,7 de febrero de 2012,40,"recomiendo el Ajiaco colombiano es delicioso , el lugar es bonito y tipico Colombiche.",$ 36.364 - $ 72.727
Casa Vieja Restaurante,BUENISIMO,20 de enero de 2012,40,Buenísima la visité luego de muchísimos años y todavía guarda su estilo y buen comer,$ 36.364 - $ 72.727
