Nombre,Título,Fecha,Rating,Reviews,Tipo,
Trattoria Sole Rosso,Me sorprendieron hoy von,6 de diciembre de 2020,50,"Me sorprendieron hoy von dos nuevos platos, una bistecca ala fiorentina de buen cuerpo y sabor y acompañantes muy buenos y una zuppa di mare muy cargada y sabor mediterraneo super recomendados 🇨🇴🇨🇴","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,"Restaurante totalmente familiar,",6 de diciembre de 2020,50,"Restaurante totalmente familiar, con platos exquisitos y con un ambiente excepcional. Volvería a probar cada plato de la carta.","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Genial,21 de septiembre de 2020,50,Simplemente delicioso. El risotto con carnes maduradas es de mis favoritos así como los distintos platos sardos. Fui con mis amigos y la atención es excelente.,"Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Delicioso almuerzo con familia y amigos,20 de septiembre de 2020,50,"Pasé una tarde de domingo increíble con amigos y familia. Vino delicioso, comida espectacular, buen servicio... Sole Rosso siempre sorprende con sus platos creativos tan bien servidos. Gracias. Recomiendo la torta de chocolate. Un HIT de postre","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Experiencia increíble desde,20 de septiembre de 2020,50,Experiencia increíble desde la entrada. Comida y bebida deliciosa y el lugar absolutamente hermoso. Recomendado.,"Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,"Excelente servicio, oportuno,",20 de septiembre de 2020,50,"Excelente servicio, oportuno, con sabores italianos propios que acompañados de un buen vino, satisfacen los paladares de clientes exigentes. Felicitaciones.","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Almuerzo con clientes,9 de marzo de 2020,50,"Tiene carta muy variada, platos que no he visto en otros sitios, la lasagna de cordero es espectacular y la atencion muy buena y cava pequeña pero buena","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Excelente comida mejor atención,1 de febrero de 2020,50,Recomendable el Pappardelle Galileo. La mejor pasta que puedes comer en Bogotá y en un ambiente muy tranquilo. La atención de los camareros exquisita.,"Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Incredibile,5 de diciembre de 2019,50,"No me esperaba encontrar un restaurante con tal atención y calidad en el centro de Bogotá, increíble de una larga lista uno al que definitivamente vale venir, excelente atención, delicioso comida y toda una experiencia gastronómica, de primera. Toda una gama de sabores por degustar....Más","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Al alma.,2 de diciembre de 2019,50,"Hoy visité este maravilloso restaurante con una carta espectacular. Todos los platos tenían un sabor que llegaba al fondo del estómago, o sea, al alma. La atención es excepcional y recomiendan los platos y vinos con cariño y conocimiento. Encantador y desearía volver pronto.","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Espectacular restaurante italiano en Bogota,17 de noviembre de 2019,50,"Espectacular experiencia Para los amantes del buen vino y comida italiana ! Una delicia hecha realidad ! Hermoso ambiente , con excelente calidad de comida y vinos y ni hablar de la excelente atención .... usted pasará una tarde increíble Tal cual si estuviera en...Más","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Bocatto di cardinale,17 de noviembre de 2019,50,"No es es restaurante que te descreste con el ambiente ni lo pretencioso de su decoración, no lo necesita, sin sombra de duda en cuanto a calidad de comida y a la atención, es el restaurante con la mejor comida italiana que hay en Bogota,...Más","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Vuelta,30 de octubre de 2019,50,"hoy he vuelto a sole rosso y me gusto nuevamente y me sorprendi con una pasta galilei con salsa espectacular y mi compañero de mesa saboreo una lasagna de cordero ambos platos muy ricos, y la atención espectacular y a precios justos vale la pena...Más","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Italia en la candelaria,8 de septiembre de 2019,50,"Excelente restaurante italiano, amabilidad en el servicio, oportuno, perfecto para deleitar sabores y buen vino","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Pasta muy rica,26 de agosto de 2019,40,Buen restaurante italiano para comer pasta de calidad. La carta tiene buena variedad con opciones vegetarianas también.,"Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Sabores mediterraneos,11 de agosto de 2019,50,Tuve la oportunidad de andar por la candelaria y disfrutar sus callesitas viejas y pintorescas y muy cerca ala cea 7a por la calle 12b en un segundo piso de una casona vieja me encontré esta trattoria de comida sarda casi que unica en bogota...Más,"Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Bueno,28 de julio de 2019,40,"Muy lindo el lugar, tranquilo , comida buena calidad. Para la mayoría la porción es pequeña pero la atención y la amabilidad compensan. Deben tener carta de bebidas .Más","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Muy buena opción.,21 de julio de 2019,40,"Visite el restaurante y su comida ofrecía alternativas de comida basada en su especialidad (pasta). Me gusto el sabor, aunque en la presentación de los platos puede mejorar, así como la cart de vinos que es limitada. El servicio es excelente y se esfuerzan por...Más","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,la comida no es buena,18 de julio de 2019,20,Estuve en el restaurante hace un par de días. El personal tiene muy buena actitud. Son atentos. El tiempo de espera una vez hecha la orden fue muy largo. Los platos llegaron fríos. No me gusto el sabor de ningúno de los platos pedidos. Son...Más,"Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,La candelaria italiana,30 de junio de 2019,50,"Excelente restaurante, ofrecen una carta que escogerías todosg los platos, todo lo que pedimos (risotto de pulpo y ravioli) buenísimo. Además el trato ha sido excelente. Gracias","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Excelente experiencia,30 de junio de 2019,50,"Excelente experiencia, muy buena la comida una atención cercana y agradable, buena ubicación, ofrecen buena carta de vinos","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,La mejor comida italiana!,30 de junio de 2019,50,"Compartí una tarde espectacular con mis amigos, un servicio excelente, las mejores pastar artesanales, quedamos encantados, los súper recomiendo!","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Espectacular Rissoto,29 de junio de 2019,50,"Vinimos por recomendación de conocidos, y no nos ha defraudado. Tomé un Rissoto, recomendación del chef, y estaba buenísimo. El postre no desmerece, el tiramisú delicioso Volveré","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Muy buena comida excelente servicio,25 de junio de 2019,50,Recomendado el dueño es muy amable es el mismo TRATTORIA NURAGHE pero con otro nombre las pastas y los platos continúan con el mismo sabor muchas gracias por la atención,"Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Vuelta,16 de junio de 2019,50,"He vuelto a esta Trattoria y me vuelto ha sorprender con sus sabores y servicio, probe el salmon con verduras, y un vino muy rico el servicio bueno y el precio muy justo para lo seevido","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Excelente,7 de junio de 2019,50,"Platos variados, un sabor delicioso, la atención muy buena y vinos de lo mejor. el lugar es muy agradable y acogedor","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Deliciosa comida en una ubicación privilegiada,4 de junio de 2019,50,"La carta es bien amplía, no sabía q pedir pero me antoje de muchas cosas, pedimos unas entradas de calamares y una tabla de prociuto con un chorizo italiano que nunca me había comido uno tan bueno. Lo mejor fue la lasaña de cordero, una...Más","Italiana, Sarda, Del sur italiano, Pizzería",
Trattoria Sole Rosso,Almuerzo,15 de mayo de 2019,50,"Un buen sitio para almorzar, tranquilo la comida excelente sabores naturales el servicio muy bueno, el vino selecto italiano y sardo y los postres tipicos el tiramisu delicioso y lo mejor los precios muy justos connla calidad que ofrecen en la Trattoria","Italiana, Sarda, Del sur italiano, Pizzería",
Restaurante Punta D' Anca,Horario,6 de junio de 2019,50,"Excelente comida, el servicio es muy bueno lo único es que el horario de atención es diferente al que dice acá al preguntar me dijeron que de lunes a miércoles es de 12 a 4 y jueves a domingo de 12 a 5 gracias","Colombiana, Churrasquería, Española, Argentina",
Restaurante Punta D' Anca,Comida familiar,13 de octubre de 2017,50,"Excelentes opciones para todo tipo de carnes y comida vegetariana. Servicio de calidad y buena barra de ensaladas, excelente espacio de parqueo y lo atienden como en casa","Colombiana, Churrasquería, Española, Argentina",
Restaurante Punta D' Anca,Evento,27 de marzo de 2017,40,"Una atencion personalizada y familiar, deliciosa la comida y a tiempo, cada plato muy bien servido, los. Postres son un excelente acompañante despues de la famosa punta de anca y con una deliciosa limonada de coco.","Colombiana, Churrasquería, Española, Argentina",
Restaurante Punta D' Anca,Excelente calidad de Comida y Servicio,16 de diciembre de 2016,50,"La comida es de excelente calidad se adaptan a tus requerimientos, bajo en grasa,la comidad tiene mucho sabor. El servicio es excelente y los dueños aman lo que hacen.","Colombiana, Churrasquería, Española, Argentina",
Restaurante La Leona,Excelente atención,10 de marzo de 2019,40,"Restaurante tipico, platos de buen tamaño y la atención excelente. Fácil acceso al público en general.","Colombiana, Sudamericana",
Restaurante La Leona,Excelente,29 de agosto de 2017,50,"Excelente me encanto el sitio , es acogedor y la comida es deliciosa. Me gusto mucho la atencion, ademas es un sitio con mucha tradicion culinaria","Colombiana, Sudamericana",
Restaurante La Leona,Comida criolla,24 de mayo de 2017,50,"Autentica comida criolla con excelente sazón, presentación y porción es personal. El ambiente es familiar y atendido por sus propietarios.","Colombiana, Sudamericana",
Restaurante La Leona,EXCELENTE ATENCIÓN Buena oferta de comidas,16 de mayo de 2017,50,muy bien atendido rápido y oportuno comida elaborada con gran esmero y dedicación variedad de platos colombianos,"Colombiana, Sudamericana",
Restaurante La Leona,bueno,16 de diciembre de 2015,30,"Es un restaurante popular; sirven comida abundante propia de el departamento de cundinamarca y boyaca ., son platos tipicos con un buen sabor , la atencion es rapida y amable ..","Colombiana, Sudamericana",
Restaurante La Leona,muy buena comida criolla,5 de enero de 2015,50,"la comida de acá es muy sabrosa tienen esa sazón que no se encuentra en otros lugares, sirven una gran cantidad de comida respecto al precio y la carta es muy variada, es muy económico y valdría la pena para ir a probarlo","Colombiana, Sudamericana",
El Busetero,"Un buen sitio, con una temática particular",4 de septiembre de 2019,50,"Es un sitio muy particular, especial y delicioso, su gran variedad de platos, hacen de este lugar un sitio especial para compartir entre amigos, familia o pasar un rato agradable en pareja, me gusto mucho y he vuelto varias veces más....",Comida rápida,
El Busetero,Excelente,15 de marzo de 2019,50,"Una muy buena atención, el mesero que nos atendió es muy amable. La comida es deliciosa , productos de buena calidad y son generosos con las porciones!",Comida rápida,
El Busetero,Buen sabor y decoración innovadora,23 de diciembre de 2018,40,"El sitio tiene una decoración muy particular e innovadora, es divertido poder jugar stop mientras esperamos la comida. Los platos de comida rápida estuvieron bien, nada del otro mundo pero rico y a precios accequibles. Lo recomiendo",Comida rápida,
El Busetero,Delicioso lugar,1 de agosto de 2018,40,"Un sitio recomendado para comer en familia, el sitio es temático y relacionado a la historia del transporte en Bogotá",Comida rápida,
Sopas y Sopitas,El Restaurante queda ceca de otros restaurantes típicos y de diversas ofertas. Es de los mas económicos y con buena comi,9 de octubre de 2019,40,Es un restaurante económico con comidas típicas colombianas . Sirven buenas porciones a precios razonables. Buen ambiente informal,"Sudamericana, Colombiana",
