Pagina,Titulo,url
1,1. Restaurante Peruano - Indio De Machu Picchu,https://www.tripadvisor.co/Restaurant_Review-g294074-d12872438-Reviews-Restaurante_Peruano_Indio_De_Machu_Picchu-Bogota.html
1,2. Bon Market and Bar,https://www.tripadvisor.co/Restaurant_Review-g294074-d17791983-Reviews-Bon_Market_and_Bar-Bogota.html
1,3. Arcade's,https://www.tripadvisor.co/Restaurant_Review-g294074-d14158750-Reviews-Arcade_s-Bogota.html
1,4. Capitalino Restaurant,https://www.tripadvisor.co/Restaurant_Review-g294074-d15307818-Reviews-Capitalino_Restaurant-Bogota.html
1,5. Ushin Japanese & Grill,https://www.tripadvisor.co/Restaurant_Review-g294074-d15098949-Reviews-Ushin_Japanese_Grill-Bogota.html
1,6. Pizza Candelaria,https://www.tripadvisor.co/Restaurant_Review-g294074-d8715571-Reviews-Pizza_Candelaria-Bogota.html
1,7. Guadalupe Latina,https://www.tripadvisor.co/Restaurant_Review-g294074-d21349977-Reviews-Guadalupe_Latina-Bogota.html
1,8. Cerveceria Irlandesa,https://www.tripadvisor.co/Restaurant_Review-g294074-d8112419-Reviews-Cerveceria_Irlandesa-Bogota.html
1,9. Storia D'amore - Zona T,https://www.tripadvisor.co/Restaurant_Review-g294074-d21340928-Reviews-Storia_D_amore_Zona_T-Bogota.html
1,10. La Jugueteria,https://www.tripadvisor.co/Restaurant_Review-g294074-d12606507-Reviews-La_Jugueteria_Kennedy-Bogota.html
1,11. La Jugueteria Macarena,https://www.tripadvisor.co/Restaurant_Review-g294074-d787879-Reviews-La_Jugueteria_Macarena-Bogota.html
1,12. Flambée Bistró & Café,https://www.tripadvisor.co/Restaurant_Review-g294074-d13000780-Reviews-Flambee_Bistro_Cafe-Bogota.html
1,13. Café Restaurante El Gato Gris,https://www.tripadvisor.co/Restaurant_Review-g294074-d4037689-Reviews-Cafe_Restaurante_El_Gato_Gris-Bogota.html
1,14. Osaka Cocina Nikkei,https://www.tripadvisor.co/Restaurant_Review-g294074-d10377558-Reviews-Osaka_Cocina_Nikkei-Bogota.html
1,15. Restaurante QUN,https://www.tripadvisor.co/Restaurant_Review-g294074-d17556070-Reviews-Restaurante_QUN-Bogota.html
1,16. La Ventana,https://www.tripadvisor.co/Restaurant_Review-g294074-d3490857-Reviews-La_Ventana-Bogota.html
1,17. Santa Fe Cafe & Restaurante,https://www.tripadvisor.co/Restaurant_Review-g294074-d7735415-Reviews-Santa_Fe_Cafe_Restaurante-Bogota.html
1,18. Gran Inka Gastro Bar,https://www.tripadvisor.co/Restaurant_Review-g294074-d13456198-Reviews-Gran_Inka_Gastro_Bar-Bogota.html
1,19. Prudencia,https://www.tripadvisor.co/Restaurant_Review-g294074-d9758969-Reviews-Prudencia-Bogota.html
1,20. El Mono Bandido,https://www.tripadvisor.co/Restaurant_Review-g294074-d15104784-Reviews-El_Mono_Bandido-Bogota.html
1,21. Tamarine Asian Cuisine,https://www.tripadvisor.co/Restaurant_Review-g294074-d9768947-Reviews-Tamarine_Asian_Cuisine-Bogota.html
1,22. El Mono Bandido,https://www.tripadvisor.co/Restaurant_Review-g294074-d10372733-Reviews-El_Mono_Bandido-Bogota.html
1,23. Sant Just,https://www.tripadvisor.co/Restaurant_Review-g294074-d3498702-Reviews-Sant_Just-Bogota.html
1,24. The Market,https://www.tripadvisor.co/Restaurant_Review-g294074-d10036260-Reviews-The_Market-Bogota.html
1,25. Corchos Barcelona - Plaza Claro,https://www.tripadvisor.co/Restaurant_Review-g294074-d15516909-Reviews-Corchos_Barcelona_Plaza_Claro-Bogota.html
